coin_name,symbol,download_csv_url,is_important,Batch_day
bitcoin,BTC,https://www.coingecko.com/en/coins/bitcoin,TRUE,0
ethereum,ETH,https://www.coingecko.com/en/coins/ethereum,TRUE,0
tether,USDT,https://www.coingecko.com/en/coins/tether,TRUE,0
bnb,BNB,https://www.coingecko.com/en/coins/bnb,TRUE,0
usd-coin,USDC,https://www.coingecko.com/en/coins/usd-coin,TRUE,0
xrp,XRP,https://www.coingecko.com/en/coins/xrp,TRUE,0
lido-staked-ether,STETH,https://www.coingecko.com/en/coins/lido-staked-ether,TRUE,0
cardano,ADA,https://www.coingecko.com/en/coins/cardano,TRUE,0
dogecoin,DOGE,https://www.coingecko.com/en/coins/dogecoin,TRUE,0
solana,SOL,https://www.coingecko.com/en/coins/solana,TRUE,0
polygon,MATIC,https://www.coingecko.com/en/coins/polygon,TRUE,0
tron,TRX,https://www.coingecko.com/en/coins/tron,TRUE,0
litecoin,LTC,https://www.coingecko.com/en/coins/litecoin,TRUE,0
polkadot,DOT,https://www.coingecko.com/en/coins/polkadot,TRUE,0
binance-usd,BUSD,https://www.coingecko.com/en/coins/binance-usd,TRUE,0
avalanche,AVAX,https://www.coingecko.com/en/coins/avalanche,TRUE,2
dai,DAI,https://www.coingecko.com/en/coins/dai,TRUE,2
wrapped-bitcoin,WBTC,https://www.coingecko.com/en/coins/wrapped-bitcoin,TRUE,2
uniswap,UNI,https://www.coingecko.com/en/coins/uniswap,FALSE,6
chainlink,LINK,https://www.coingecko.com/en/coins/chainlink,FALSE,5
cosmos-hub,ATOM,https://www.coingecko.com/en/coins/cosmos-hub,FALSE,5
monero,XMR,https://www.coingecko.com/en/coins/monero,FALSE,4
toncoin,TON,https://www.coingecko.com/en/coins/toncoin,FALSE,6
ethereum-classic,ETC,https://www.coingecko.com/en/coins/ethereum-classic,FALSE,5
stellar,XLM,https://www.coingecko.com/en/coins/stellar,FALSE,6
bitcoin-cash,BCH,https://www.coingecko.com/en/coins/bitcoin-cash,FALSE,5
filecoin,FIL,https://www.coingecko.com/en/coins/filecoin,FALSE,3
internet-computer,ICP,https://www.coingecko.com/en/coins/internet-computer,FALSE,3
true-usd,TUSD,https://www.coingecko.com/en/coins/true-usd,FALSE,6
lido-dao,LDO,https://www.coingecko.com/en/coins/lido-dao,FALSE,4
aptos,APT,https://www.coingecko.com/en/coins/aptos,FALSE,5
quant,QNT,https://www.coingecko.com/en/coins/quant,FALSE,6
hedera,HBAR,https://www.coingecko.com/en/coins/hedera,FALSE,3
arbitrum,ARB,https://www.coingecko.com/en/coins/arbitrum,FALSE,5
cronos,CRO,https://www.coingecko.com/en/coins/cronos,FALSE,5
near,NEAR,https://www.coingecko.com/en/coins/near,FALSE,4
vechain,VET,https://www.coingecko.com/en/coins/vechain,FALSE,6
the-graph,GRT,https://www.coingecko.com/en/coins/the-graph,FALSE,6
apecoin,APE,https://www.coingecko.com/en/coins/apecoin,FALSE,5
algorand,ALGO,https://www.coingecko.com/en/coins/algorand,FALSE,5
the-sandbox,SAND,https://www.coingecko.com/en/coins/the-sandbox,FALSE,6
pax-dollar,USDP,https://www.coingecko.com/en/coins/pax-dollar,FALSE,6
frax,FRAX,https://www.coingecko.com/en/coins/frax,FALSE,3
eos,EOS,https://www.coingecko.com/en/coins/eos,FALSE,5
multiversx,EGLD,https://www.coingecko.com/en/coins/multiversx,FALSE,4
rocket-pool,RPL,https://www.coingecko.com/en/coins/rocket-pool,FALSE,6
render-token,RNDR,https://www.coingecko.com/en/coins/render-token,FALSE,6
optimism,OP,https://www.coingecko.com/en/coins/optimism,FALSE,4
aave,AAVE,https://www.coingecko.com/en/coins/aave,FALSE,5
fantom,FTM,https://www.coingecko.com/en/coins/fantom,FALSE,3
decentraland,MANA,https://www.coingecko.com/en/coins/decentraland,FALSE,5
